Frames (relative),Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Average
-7.0,33.35057488247072,35.08380952180983,35.84598154832583,36.77310818246357,36.0099345886241,39.38565460957047,36.074843888877425
-6.0,32.50263725443899,33.30881548810433,35.12177438913309,36.23606240303832,35.43357190865122,38.70975920583844,35.21877010820074
-5.0,32.38807270469226,33.11129194780898,34.62076780248849,35.73753218140072,35.18631037234807,38.04516345585481,34.84818974409888
-4.0,32.18938720865842,32.99739796055761,34.2246446849747,35.07147618919749,35.14840066923027,36.71272329626801,34.390671668147746
-3.0,31.92948341279596,32.73297828064715,33.95721373839591,35.05393287745922,35.01171791782456,36.17497550868642,34.14338362263487
-2.0,31.98025109405597,32.51493509821185,33.79732890732155,35.02620741403861,34.83198629743279,35.97915801859069,34.021644471608575
-1.0,31.84129953633385,32.54553220015825,33.40440861668807,35.05499830961026,34.82045358216527,35.70791680078044,33.89576817428935
0.0,32.1195746786848,32.71113468614386,33.60582271617088,35.21679619923508,35.03064190691153,35.71977628657346,34.06729107895327
1.0,32.55341919374236,32.90185993110073,33.79153101899643,35.40519947770899,35.35704569548358,35.99270891430476,34.33362737188948
2.3181818181818183,33.54415070539012,33.23576604728243,34.546182455729415,36.96567792253356,36.00512386982334,36.39501856035352,35.11531992685207
3.6363636363636362,34.91722947066153,34.20129926770477,36.26305295894542,37.59627947325756,37.14549699716285,36.843504718039405,36.16114381429526
4.954545454545454,36.546078487329865,37.235341521748744,37.780813086214586,38.92887202451243,39.40923540397248,37.73150800191175,37.93864142094831
6.2727272727272725,39.367666134313026,38.002685655925305,39.44519202820952,40.19287203065753,40.70553198907302,38.782787746239336,39.41612259740295
7.590909090909091,40.06376874072393,39.4970215441678,40.68004950834429,41.44272936432973,41.56987625586878,39.81673939704028,40.51169746841247
8.909090909090908,41.19305740023024,40.68647029779167,42.52738336187196,42.73656342944845,42.382672152508114,40.81314811556279,41.72321579290221
10.227272727272727,42.00302184949241,41.48976871612126,42.84862563692262,43.05840432148522,43.05708127984773,42.3123772281525,42.46154650533696
11.545454545454545,42.71343676052873,42.623013640839474,43.395457898185654,43.709697777261,43.941155268002156,43.071183685119074,43.242324171656016
12.863636363636363,43.19375610988173,43.32070672655771,43.866200156274,44.2661108230847,44.465168871769436,43.36227985918985,43.74570375779291
14.181818181818182,43.973763437595885,43.670214404674674,44.1723555163315,44.46656328602494,44.84849275020025,44.05107008047643,44.19707657921728
15.5,44.21119892057658,43.874117884751264,44.37480150814207,44.71932246683282,45.121335591743474,44.504023362944395,44.46746662249844
16.818181818181817,44.36843580064133,44.041350348661176,44.42935414932166,44.8678535956101,45.26121988966905,44.702988758880664,44.611867090463996
18.136363636363637,44.684252409025774,44.12774241844159,44.412835369896605,44.83239382449149,45.287475394955585,44.80363760299145,44.69138950330042
19.454545454545453,45.00006901741021,44.44429393455698,44.523451530925854,44.97728978100753,45.38475891612208,44.833265702518936,44.86052148042361
20.772727272727273,45.31588562579466,44.76084545067238,44.73796931437592,45.16005168758816,45.66802411151595,44.85172435350013,45.0824167572412
22.09090909090909,45.631702234179095,45.077396966787774,44.796491321293146,45.233471077535555,45.81251261484691,44.82699227042031,45.22976108084381
23.409090909090907,45.94751884256353,45.39394848290317,44.74104141723067,45.27257616246055,45.93360699551386,44.80226018734049,45.348492014668714
24.727272727272727,46.26333545094798,45.710499999018566,44.6855915131682,45.31168124738556,46.054701376180816,44.77752810426066,45.46722294849363
26.045454545454543,46.579152059332415,46.027051515133955,44.63014160910572,45.350786332310555,46.175795756847776,44.752796021180835,45.58595388231854
27.363636363636363,46.89496866771686,46.34360303124935,44.57469170504325,45.38989141723556,46.29689013751473,44.728063938101016,45.70468481614346
28.68181818181818,47.2107852761013,46.66015454736475,44.51924180098077,45.42899650216056,46.41798451818168,44.70333185502119,45.823415749968376
30.0,47.52660188448574,46.976706063480144,44.4637918969183,45.46810158708556,46.539078898848636,44.678599771941364,45.94214668379329
